Restaurant Name,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes
Laguna,New Delhi,"Chinese, North Indian",900,No,No,2,3.4,Orange,Average,60
Momo Point,New Delhi,"Chinese, North Indian",700,No,No,2,3.2,Orange,Average,14
New Zaika,New Delhi,"Chinese, North Indian",700,No,No,2,3.1,Orange,Average,10
Organic Express,New Delhi,"Cafe, Healthy Food, North Indian",700,No,No,2,3.0,Orange,Average,7
Tamil Nadu House Canteen,New Delhi,"South Indian, Chettinad, North Indian, Chinese",600,No,No,2,3.4,Orange,Average,161
The Chocolate Avenue,New Delhi,Bakery,300,No,No,1,3.4,Orange,Average,28
Chimney Sizzlers,New Delhi,Chinese,800,Yes,Yes,2,3.7,Yellow,Good,137
Gujarat Bhawan Restaurant,New Delhi,"Gujarati, South Indian, North Indian",400,No,No,1,3.7,Yellow,Good,203
It��s Sinful,New Delhi,"Bakery, Desserts",450,No,No,1,3.5,Yellow,Good,20
Jakoi,New Delhi,"Assamese, Chinese",600,No,No,2,3.5,Yellow,Good,218
Arunachal Bhawan,New Delhi,North Eastern,350,No,No,1,0.0,White,Not rated,0
Hotel New Tamil Nadu,New Delhi,"South Indian, North Indian, Chinese",300,No,No,1,0.0,White,Not rated,1
Milan Food,New Delhi,"Chinese, North Indian",650,No,No,2,0.0,White,Not rated,2
Playboy Club,New Delhi,Finger Food,3000,No,No,4,0.0,White,Not rated,3
Moti Mahal Delux,New Delhi,"North Indian, Mughlai",1600,Yes,No,3,2.4,Red,Poor,164
The Treat,New Delhi,"North Indian, Mughlai, Chinese",500,No,No,2,2.1,Red,Poor,138
Break Fast Point,New Delhi,North Indian,200,No,No,1,3.3,Orange,Average,21
Breakfast Corner,New Delhi,North Indian,150,No,No,1,3.1,Orange,Average,6
Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2,3.0,Orange,Average,10
Frontier,New Delhi,Bakery,200,No,No,1,3.2,Orange,Average,10
Prince Cafe,New Delhi,"South Indian, Chinese, Fast Food",300,No,No,1,2.9,Orange,Average,6
Spicy Eleven,New Delhi,"North Indian, South Indian, Chinese",500,No,No,2,3.1,Orange,Average,15
Vaishno Punjabi Dhaba,New Delhi,North Indian,400,No,No,1,3.0,Orange,Average,12
Adarsh Bhojnalaya,New Delhi,North Indian,300,No,No,1,3.4,Orange,Average,29
Al Haj Bakery,New Delhi,Bakery,150,No,No,1,3.0,Orange,Average,9
Anmol Chicken,New Delhi,Mughlai,300,No,No,1,3.1,Orange,Average,4
Babu Ram Paranthe Wale,New Delhi,North Indian,150,No,No,1,3.2,Orange,Average,225
Bhaijaan Kababs,New Delhi,Mughlai,100,No,No,1,3.2,Orange,Average,8
Bhikharam's,New Delhi,"Mithai, Fast Food",300,No,No,1,3.0,Orange,Average,5
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",550,No,No,2,2.8,Orange,Average,42
Brijwasi Bhoj,New Delhi,North Indian,200,No,No,1,3.1,Orange,Average,16
Brijwasi Restaurant,New Delhi,"North Indian, Fast Food, Chinese, South Indian",400,No,No,1,3.2,Orange,Average,39
Comesum,New Delhi,"North Indian, Street Food, Chinese, South Indian",350,No,No,1,2.5,Orange,Average,49
Inderpuri Restaurant,New Delhi,North Indian,250,No,No,1,3.0,Orange,Average,20
Kamdhenu Family Corner,New Delhi,"North Indian, South Indian",300,No,No,1,2.8,Orange,Average,4
Khalsa Hindu Hotel,New Delhi,North Indian,450,No,No,1,2.9,Orange,Average,5
Mahalaxmi Mishthan Bhandar,New Delhi,"Mithai, Street Food",100,No,No,1,3.3,Orange,Average,16
McDonald's,New Delhi,"Fast Food, Burger",500,No,No,2,3.0,Orange,Average,57
McDonald's,New Delhi,"Fast Food, Burger",500,No,No,2,3.0,Orange,Average,42
Natraj Cafe,New Delhi,"North Indian, Fast Food, South Indian",300,No,No,1,3.4,Orange,Average,21
Padam Chaat Corner,New Delhi,Street Food,100,No,No,1,3.0,Orange,Average,4
Pandit Ved Prakash Lemon Wale,New Delhi,"Beverages, Street Food",50,No,No,1,3.2,Orange,Average,11
Pt. Babu Ram Devi Dayal Paranthe Wale,New Delhi,North Indian,150,No,No,1,3.0,Orange,Average,53
Rabri Bhandar,New Delhi,Mithai,150,No,No,1,3.2,Orange,Average,7
Ram Parshad Makhan Lal,New Delhi,Mithai,100,No,No,1,3.4,Orange,Average,23
Rambhoj,New Delhi,"North Indian, South Indian",150,No,No,1,2.9,Orange,Average,4
Rehmatullah's Hotel,New Delhi,Mughlai,100,No,No,1,3.0,Orange,Average,5
Sharma Bhojnalay,New Delhi,North Indian,100,No,No,1,3.0,Orange,Average,9
Shree Balaji Chaat Bhandar,New Delhi,Street Food,100,No,No,1,3.2,Orange,Average,16
Shri Duli Chand Naresh Gupta,New Delhi,Desserts,100,No,No,1,3.4,Orange,Average,18
Shri Hari Sharnam,New Delhi,"North Indian, South Indian",400,No,No,1,3.1,Orange,Average,14
Sindhi Chicken,New Delhi,North Indian,400,No,No,1,2.9,Orange,Average,7
Soni Bhojnalaya,New Delhi,North Indian,300,No,No,1,3.0,Orange,Average,4
Super Restaurant,New Delhi,North Indian,250,No,No,1,2.9,Orange,Average,5
Tiwari Ji Confectioner,New Delhi,Street Food,100,No,No,1,3.1,Orange,Average,5
Wah Ji Wah,New Delhi,"North Indian, Chinese",450,No,No,1,2.8,Orange,Average,59
Zaika Mughlai Foods,New Delhi,"Mughlai, Biryani",550,No,No,2,3.3,Orange,Average,10
Al Yousuf,New Delhi,Mughlai,200,No,No,1,3.7,Yellow,Good,30
Amritsari Lassi Wala,New Delhi,Beverages,100,No,No,1,3.8,Yellow,Good,112
Annapurna Bhandar,New Delhi,Mithai,100,No,No,1,3.8,Yellow,Good,59
Bishan Swaroop Chaat Bhandar,New Delhi,Street Food,150,No,No,1,3.7,Yellow,Good,40
Gole Hatti,New Delhi,North Indian,150,No,No,1,3.8,Yellow,Good,116
Haldiram's,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,No,No,2,3.9,Yellow,Good,444
Kanwarji's,New Delhi,"Street Food, Chinese, North Indian, Mithai",300,No,No,1,3.9,Yellow,Good,163
Kedarnath Prem Chand Halwai,New Delhi,"Mithai, Street Food",100,No,No,1,3.7,Yellow,Good,19
Keventers,New Delhi,Beverages,400,No,No,1,3.7,Yellow,Good,63
Khan Omelette Corner,New Delhi,Fast Food,150,No,No,1,3.6,Yellow,Good,43
Natraj Dahi Bhalle Wala,New Delhi,Street Food,100,No,No,1,3.9,Yellow,Good,1487
Old Famous Jalebi Wala,New Delhi,"Mithai, Street Food",100,No,No,1,3.9,Yellow,Good,752
Pt. Gaya Prasad Shiv Charan Paranthe Wale,New Delhi,North Indian,150,No,No,1,3.6,Yellow,Good,437
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,New Delhi,North Indian,150,No,No,1,3.6,Yellow,Good,297
Shiv Misthan Bhandar,New Delhi,"Mithai, Street Food",100,No,No,1,3.8,Yellow,Good,76
Special Jalebi Wala,New Delhi,Mithai,100,No,No,1,3.5,Yellow,Good,21
Tewari Bros Confectioners,New Delhi,"Street Food, North Indian, South Indian, Mithai",200,No,No,1,3.5,Yellow,Good,51
Annapurna Chaat & Sweets,New Delhi,Street Food,100,No,No,1,0.0,White,Not rated,1
Delhi-6 The Chicken Planet,New Delhi,"Biryani, Mughlai",300,No,No,1,0.0,White,Not rated,0
Dessi Food,New Delhi,Street Food,100,No,No,1,0.0,White,Not rated,0
Foody Dragon,New Delhi,Chinese,300,No,No,1,0.0,White,Not rated,0
Grover Eating Point,New Delhi,North Indian,200,No,No,1,0.0,White,Not rated,1
Hotel 121 Shakahari,New Delhi,North Indian,300,No,No,1,0.0,White,Not rated,2
Lala Chaap Corner,New Delhi,Fast Food,200,No,No,1,0.0,White,Not rated,0
Meghraj & Sons,New Delhi,"Street Food, Mithai",200,No,No,1,0.0,White,Not rated,3
Old Kheer Shop,New Delhi,Desserts,100,No,No,1,0.0,White,Not rated,3
Punjabi Chicken,New Delhi,North Indian,400,No,No,1,0.0,White,Not rated,0
Ratan Singh,New Delhi,Mithai,50,No,No,1,0.0,White,Not rated,0
Shri Bhujia Bhandar,New Delhi,"Street Food, Mithai",100,No,No,1,0.0,White,Not rated,2
Chaina Ram Sindhi Confectioners,New Delhi,"Mithai, Street Food",200,No,No,1,4.2,Green,Very Good,382
Giani's di Hatti,New Delhi,"Ice Cream, Mithai, North Indian, Street Food",150,No,No,1,4.3,Green,Very Good,521
Jung Bahadur Kachori Wala,New Delhi,Street Food,50,No,Yes,1,4.1,Green,Very Good,405
Lakhori - Haveli Dharampura,New Delhi,"Mughlai, Street Food",3000,No,No,4,4.4,Green,Very Good,305
Milk n More,New Delhi,"Desserts, Street Food",100,No,No,1,3.1,Orange,Average,6
Kuremal Mohan Lal Kulfi Wale,New Delhi,Ice Cream,200,No,No,1,4.5,Dark Green,Excellent,545
Hira Chaat Corner,New Delhi,Street Food,100,No,No,1,3.6,Yellow,Good,18
Kuremal Mahavir Prasad Kulfi Wale,New Delhi,Ice Cream,300,No,No,1,3.9,Yellow,Good,36
Shakahari Restaurant,New Delhi,North Indian,300,No,No,1,3.6,Yellow,Good,185
Shri Gujrat Namkeen Bhandar,New Delhi,"Street Food, Mithai",100,No,No,1,3.6,Yellow,Good,27
Standard Sweets,New Delhi,"Mithai, North Indian",200,No,No,1,3.6,Yellow,Good,31
Sudarshan,New Delhi,"Street Food, Beverages",150,No,No,1,3.7,Yellow,Good,54
Ustad Moinuddin Kebab,New Delhi,Fast Food,100,No,No,1,3.7,Yellow,Good,21
Ashok Chaat Corner,New Delhi,Street Food,100,No,No,1,4.1,Green,Very Good,118
Jain Coffee House,New Delhi,"Fast Food, Beverages",150,No,No,1,4.1,Green,Very Good,169
Shyam Sweets,New Delhi,"Mithai, Street Food",150,No,No,1,4.1,Green,Very Good,200
Spicy Food Court,New Delhi,"North Indian, Mughlai, Chinese",500,No,Yes,2,2.7,Orange,Average,23
Aristocrat Sweet Shop,New Delhi,"Mithai, Bakery",300,No,No,1,3.1,Orange,Average,7
Balluchi's - The Royal Cuisine,New Delhi,"North Indian, Mughlai, Chinese",800,Yes,No,2,3.0,Orange,Average,4
Bunty Dhaba,New Delhi,"North Indian, Chinese",500,No,No,2,3.2,Orange,Average,26
Gopal's Restaurant & Caterer's,New Delhi,"North Indian, Fast Food",300,No,No,1,2.7,Orange,Average,22
Horn Please,New Delhi,"North Indian, Mughlai, Chinese",1000,Yes,Yes,3,3.0,Orange,Average,70
Khatey Raho,New Delhi,"North Indian, Mughlai, Fast Food, South Indian",250,No,No,1,3.3,Orange,Average,26
Kolkata Biryani House,New Delhi,"North Indian, Mughlai, Biryani",500,No,Yes,2,3.4,Orange,Average,404
Kolkata Hot Kathi Roll,New Delhi,Fast Food,150,No,No,1,3.2,Orange,Average,35
Madly Bangalee,New Delhi,"Mughlai, North Indian, Bengali, Continental",400,No,No,1,2.7,Orange,Average,135
Oh! China,New Delhi,"Chinese, Thai",600,No,Yes,2,2.9,Orange,Average,16
Punjabi Zaika,New Delhi,"Chinese, Mughlai, North Indian",500,No,Yes,2,2.9,Orange,Average,39
Rabi Snacks Corner,New Delhi,Fast Food,300,No,No,1,3.4,Orange,Average,18
Republic of Chicken,New Delhi,"Raw Meats, Fast Food",400,No,No,1,2.7,Orange,Average,29
Roll n Roast,New Delhi,"North Indian, Chinese",250,No,No,1,3.3,Orange,Average,27
Roller's High,New Delhi,"North Indian, Mughlai",500,No,No,2,3.2,Orange,Average,13
Royal Chick 'N',New Delhi,"Mughlai, North Indian, Chinese",300,No,Yes,1,3.3,Orange,Average,18
Royal Kolkata Biryani,New Delhi,"North Indian, Chinese, Biryani",500,No,No,2,2.7,Orange,Average,14
Sameer's Restaurant,New Delhi,"North Indian, Mughlai, Chinese",600,No,Yes,2,2.5,Orange,Average,59
Sanjha Chulha,New Delhi,"North Indian, Mughlai",550,No,No,2,2.7,Orange,Average,70
Shepherd's,New Delhi,Fast Food,250,No,No,1,3.1,Orange,Average,9
Soya King,New Delhi,North Indian,350,No,Yes,1,2.6,Orange,Average,71
Tasty Tonight,New Delhi,"North Indian, Mughlai, Chinese",1000,No,No,3,3.1,Orange,Average,5
The Mustard,New Delhi,Bengali,500,No,Yes,2,2.9,Orange,Average,7
Tibb's Frankie,New Delhi,Fast Food,250,No,No,1,3.2,Orange,Average,16
Wazwaan Restaurant,New Delhi,"North Indian, Kashmiri",1200,Yes,No,3,3.2,Orange,Average,14
Yummi Kolkataa,New Delhi,Mithai,150,No,No,1,3.2,Orange,Average,17
Annapurna Sweet House,New Delhi,"Mithai, Street Food",150,No,No,1,3.7,Yellow,Good,55
Ashirbad,New Delhi,Fast Food,100,No,No,1,3.6,Yellow,Good,46
Chocolatiers - The Chocolate Boutique,New Delhi,Desserts,100,No,Yes,1,3.8,Yellow,Good,112
Dadu Cutlet Shop,New Delhi,Fast Food,100,No,No,1,3.7,Yellow,Good,99
Dogs & Wiches,New Delhi,"Continental, American, Fast Food",600,No,Yes,2,3.9,Yellow,Good,109
Maa Tara,New Delhi,"Bengali, North Indian",500,No,Yes,2,3.6,Yellow,Good,458
My Spice Kitchen,New Delhi,"North Indian, Mughlai, Biryani, Bengali",650,No,Yes,2,3.5,Yellow,Good,443
The Singing Tree,New Delhi,Beverages,100,No,No,1,3.7,Yellow,Good,33
Baba Chicken Ludhiana Wale,New Delhi,North Indian,400,No,No,1,0.0,White,Not rated,0
Bengal Snacks,New Delhi,Fast Food,300,No,No,1,0.0,White,Not rated,2
Brownies & More,New Delhi,"Bakery, Fast Food",100,No,No,1,0.0,White,Not rated,2
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,0.0,White,Not rated,1
Craving Cure,New Delhi,Chinese,300,No,No,1,0.0,White,Not rated,2
Cuisine,New Delhi,"North Indian, Mughlai, Chinese",1500,Yes,No,3,0.0,White,Not rated,1
Food Nation,New Delhi,"North Indian, Chinese",400,No,No,1,0.0,White,Not rated,0
Kamala Fast Food & Chinese,New Delhi,"Fast Food, Chinese",300,No,No,1,0.0,White,Not rated,2
Lokenath Sweets,New Delhi,Mithai,150,No,No,1,0.0,White,Not rated,2
Me and My Cake,New Delhi,"Bakery, Desserts",500,No,No,2,0.0,White,Not rated,0
Chulha Punjabi Da,New Delhi,"North Indian, Chinese, Fast Food",600,No,Yes,2,2.4,Red,Poor,41
Viva Hyderabad,New Delhi,"Biryani, North Indian",600,No,Yes,2,2.3,Red,Poor,38
Metro Grill,New Delhi,"North Indian, Mughlai, Chinese",1200,Yes,No,3,3.4,Orange,Average,134
Cafe Cruise,New Delhi,"Continental, North Indian, Chinese",1300,Yes,Yes,3,2.8,Orange,Average,153
Etal The Lounge Bar,New Delhi,"North Indian, Italian, Fast Food",2000,Yes,No,4,3.2,Orange,Average,455
"Game of Legends - Sports Bar, Grill, & Lounge",New Delhi,"North Indian, Chinese, Continental, Italian",1450,Yes,No,3,3.5,Yellow,Good,609
Al-raaya,New Delhi,"Mughlai, North Indian",600,No,Yes,2,3.1,Orange,Average,6
Authentique Bites,New Delhi,"Bakery, Desserts",300,No,No,1,3.2,Orange,Average,17
Embassy,New Delhi,"Chinese, North Indian, Mughlai",1200,Yes,Yes,3,3.0,Orange,Average,126
Narang's Bake 'n' Cake,New Delhi,"Bakery, Desserts, Fast Food",400,No,No,1,3.0,Orange,Average,4
New Darvesh,New Delhi,"Chinese, South Indian",150,No,No,1,3.0,Orange,Average,14
1UP,New Delhi,"Cafe, Italian, Continental",1200,Yes,No,3,3.5,Yellow,Good,282
Gujarati Samaj Santushti,New Delhi,Gujarati,300,No,No,1,3.6,Yellow,Good,95
Hind Bakery & Chinese Fast Food,New Delhi,Fast Food,150,No,No,1,0.0,White,Not rated,0
Hot Pot,New Delhi,Chinese,150,No,No,1,0.0,White,Not rated,0
Punjabi Flavour,New Delhi,North Indian,100,No,No,1,0.0,White,Not rated,0
Saras Fast Food Feast,New Delhi,"North Indian, South Indian",300,No,No,1,0.0,White,Not rated,0
Shama Chicken Corner,New Delhi,"Biryani, Mughlai",300,No,No,1,0.0,White,Not rated,0
The Night Owl,New Delhi,Chinese,450,No,No,1,0.0,White,Not rated,1
Wimpy Sweets And Confectioners,New Delhi,"Bakery, Mithai",150,No,No,1,0.0,White,Not rated,1
Boa Village,New Delhi,"Chinese, Japanese, Korean, Asian",1500,Yes,No,3,4.0,Green,Very Good,225
Anand Ji Restaurant,New Delhi,"Chinese, North Indian, Street Food",400,No,No,1,3.1,Orange,Average,28
Baskin Robbins,New Delhi,Ice Cream,300,No,Yes,1,3.3,Orange,Average,38
Bhoj Restaurant,New Delhi,"North Indian, Mughlai",600,No,No,2,2.8,Orange,Average,54
Brijwasi Restaurant,New Delhi,"North Indian, Chinese",400,No,No,1,2.8,Orange,Average,32
Cafe Coffee Day - The Lounge,New Delhi,Cafe,750,No,No,2,3.2,Orange,Average,42
Cafe Coffee Day,New Delhi,Cafe,450,No,No,1,2.9,Orange,Average,10
Chaat Tadka,New Delhi,"North Indian, Street Food, Mithai",300,No,No,1,2.8,Orange,Average,27
Chawla's Unique Chicken Corner,New Delhi,"North Indian, Mughlai",600,No,Yes,2,3.2,Orange,Average,35
Dawat Khana,New Delhi,"North Indian, Mughlai, Chinese",1600,Yes,Yes,3,2.5,Orange,Average,82
Eat n Joy,New Delhi,"North Indian, Mughlai",500,No,No,2,3.2,Orange,Average,24
Khan Chicken Biryani,New Delhi,North Indian,500,No,No,2,2.9,Orange,Average,14
Kolkata Roll,New Delhi,Fast Food,200,No,No,1,2.8,Orange,Average,16
R. Ahmad Food,New Delhi,North Indian,450,No,No,1,3.0,Orange,Average,11
Sab Ke Khatir,New Delhi,"North Indian, Mughlai",600,No,No,2,3.1,Orange,Average,14
Bon Bon Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",150,No,No,1,3.5,Yellow,Good,91
Moksha,New Delhi,North Indian,1400,Yes,Yes,3,3.7,Yellow,Good,110
Pebble Street,New Delhi,"Italian, Tex-Mex, Continental, North Indian",2400,Yes,Yes,4,3.9,Yellow,Good,886
Kebab Gallery,New Delhi,"North Indian, Lucknowi",400,No,No,1,0.0,White,Not rated,3
Amber,New Delhi,"North Indian, Chinese, Mughlai",1800,Yes,Yes,3,2.6,Orange,Average,152
Attitude Kitchen & Bar,New Delhi,"North Indian, Continental, Italian",1300,Yes,No,3,2.9,Orange,Average,140
Cafe Coffee Day,New Delhi,Cafe,450,No,Yes,1,3.4,Orange,Average,277
Castle 9,New Delhi,"Finger Food, Continental, North Indian, Chinese",1350,Yes,No,3,3.1,Orange,Average,1099
Costa Coffee,New Delhi,Cafe,600,No,No,2,3.4,Orange,Average,76
Delhi Darbar Dhaba,New Delhi,"North Indian, Chinese",400,No,Yes,1,3.2,Orange,Average,89
Garam Dharam,New Delhi,North Indian,1300,No,Yes,3,3.4,Orange,Average,1523
Gola Sizzlers,New Delhi,"Chinese, North Indian, Mughlai, Continental",1600,No,Yes,3,3.0,Orange,Average,671
Indian Coffee House,New Delhi,Fast Food,200,No,No,1,3.3,Orange,Average,1300
My Bar Lounge & Restaurant,New Delhi,"North Indian, Chinese, Italian, Continental",1000,No,No,3,2.7,Orange,Average,2460
My Bar Square,New Delhi,"North Indian, Chinese, Italian, Continental",1000,No,No,3,2.5,Orange,Average,1096
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,No,Yes,2,3.4,Orange,Average,499
The Immigrant Cafe,New Delhi,"North Indian, Italian, Continental",1100,Yes,No,3,3.2,Orange,Average,563
MOB Brewpub,New Delhi,"Continental, Italian, Asian, Indian",1500,No,No,3,4.7,Dark Green,Excellent,52
Naturals Ice Cream,New Delhi,Ice Cream,150,No,Yes,1,4.9,Dark Green,Excellent,2620
Zabardast Indian Kitchen,New Delhi,North Indian,1800,Yes,Yes,3,4.7,Dark Green,Excellent,242
Anand Restaurant,New Delhi,North Indian,550,No,No,2,3.6,Yellow,Good,485
Berco's,New Delhi,"Chinese, Thai",1100,Yes,Yes,3,3.9,Yellow,Good,2639
Blues,New Delhi,"Continental, Mexican, American, Italian, North Indian",1100,No,No,3,3.7,Yellow,Good,706
Burger King,New Delhi,"Burger, Fast Food",500,No,Yes,2,3.8,Yellow,Good,2093
Burger Singh,New Delhi,"Burger, Juices, Finger Food",500,No,Yes,2,3.6,Yellow,Good,548
Cafe Coffee Day The Square,New Delhi,Cafe,700,No,No,2,3.6,Yellow,Good,361
Cafe Dalal Street,New Delhi,"North Indian, European",1500,No,Yes,3,3.7,Yellow,Good,873
Cafe Hawkers,New Delhi,"Chinese, Continental, North Indian",1200,Yes,No,3,3.7,Yellow,Good,673
Cafe Public Connection,New Delhi,"North Indian, Continental, Italian",1200,Yes,No,3,3.7,Yellow,Good,834
Caf�� MRP,New Delhi,"North Indian, Chinese, Italian, Mediterranean",800,No,No,2,3.6,Yellow,Good,877
Caffe Tonino,New Delhi,"Pizza, Italian, Cafe",1400,No,Yes,3,3.9,Yellow,Good,1503
Cha Bar,New Delhi,Cafe,500,No,No,2,3.9,Yellow,Good,3206
Chaayos,New Delhi,"Cafe, Tea",400,No,Yes,1,3.9,Yellow,Good,487
Chew - Pan Asian Cafe,New Delhi,"Asian, Japanese, Chinese, Thai",1700,Yes,Yes,3,3.9,Yellow,Good,2003
China Garden,New Delhi,Chinese,1800,Yes,No,3,3.9,Yellow,Good,496
Desi Vibes,New Delhi,"North Indian, Mughlai",1400,Yes,Yes,3,3.9,Yellow,Good,841
Domino's Pizza,New Delhi,"Pizza, Fast Food",700,No,No,2,3.7,Yellow,Good,336
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,No,Yes,2,3.8,Yellow,Good,271
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,No,No,2,3.9,Yellow,Good,1607
Embassy,New Delhi,"North Indian, Continental, European",2000,Yes,Yes,4,3.5,Yellow,Good,706
FLYP@MTV,New Delhi,"North Indian, Mexican, Italian, Continental",1200,Yes,No,3,3.9,Yellow,Good,1379
GoGourmet,New Delhi,"Healthy Food, Beverages",600,No,Yes,2,3.7,Yellow,Good,55
Haldiram's,New Delhi,"Street Food, North Indian, South Indian, Chinese, Mithai",550,No,No,2,3.9,Yellow,Good,1151
Indian Grill Company,New Delhi,"North Indian, Continental",1300,Yes,Yes,3,3.7,Yellow,Good,626
Jain Chawal Wale,New Delhi,North Indian,250,No,Yes,1,3.8,Yellow,Good,301
Jungle Jamboree,New Delhi,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,Yes,No,3,3.8,Yellow,Good,1174
Kake Da Hotel,New Delhi,North Indian,600,No,No,2,3.5,Yellow,Good,2185
Kebab Xpress,New Delhi,"North Indian, Mughlai",600,No,Yes,2,3.5,Yellow,Good,321
KFC,New Delhi,"American, Fast Food",500,No,Yes,2,3.7,Yellow,Good,427
Khan Chacha,New Delhi,"Mughlai, North Indian",650,No,Yes,2,3.7,Yellow,Good,1189
Kinbuck 2,New Delhi,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1600,No,No,3,3.9,Yellow,Good,1286
La Americana,New Delhi,"Fast Food, Burger",450,No,Yes,1,3.7,Yellow,Good,41
Lady Baga,New Delhi,"Goan, Seafood",1200,Yes,Yes,3,3.7,Yellow,Good,277
Life Caffe,New Delhi,"Cafe, North Indian, Italian, Japanese, Fast Food",1500,Yes,No,3,3.6,Yellow,Good,391
Lord of the Drinks,New Delhi,"European, Chinese, North Indian, Italian",2200,No,No,4,3.9,Yellow,Good,2589
McDonald's,New Delhi,"Fast Food, Burger",500,No,No,2,3.8,Yellow,Good,388
McDonald's,New Delhi,"Fast Food, Burger",500,No,No,2,3.7,Yellow,Good,108
Moets Arabica,New Delhi,"Arabian, Mexican",400,No,No,1,3.5,Yellow,Good,95
Mother India,New Delhi,"Bengali, South Indian, North Indian, Mughlai",1400,Yes,No,3,3.9,Yellow,Good,66
Mughlai Junction,New Delhi,"North Indian, Mughlai",650,No,Yes,2,3.9,Yellow,Good,310
My Bar Headquarters,New Delhi,"North Indian, Mughlai, Chinese",1000,No,No,3,3.7,Yellow,Good,3010
Nando's,New Delhi,"Portuguese, African",1200,No,Yes,3,3.7,Yellow,Good,1891
Nizam's Kathi Kabab,New Delhi,"North Indian, Fast Food",900,No,No,2,3.8,Yellow,Good,1761
Oh My God,New Delhi,"North Indian, Italian, Chinese, Mexican",1400,Yes,No,3,3.8,Yellow,Good,367
Open House Cafe,New Delhi,"North Indian, Chinese, Mughlai, Italian",1700,No,No,3,3.8,Yellow,Good,1158
Parikrama - The Revolving Restaurant,New Delhi,"North Indian, Chinese, Mughlai",2400,No,No,4,3.8,Yellow,Good,2689
Pind Balluchi,New Delhi,"North Indian, Mughlai",1000,No,Yes,3,3.6,Yellow,Good,1434
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,No,Yes,3,3.5,Yellow,Good,541
Playboy Cafe,New Delhi,"North Indian, Chinese, Continental",1100,Yes,No,3,3.7,Yellow,Good,140
Privee',New Delhi,"Chinese, Italian, Continental, North Indian",5000,No,No,4,3.6,Yellow,Good,61
Punjabi By Nature,New Delhi,"North Indian, Mughlai",1100,Yes,Yes,3,3.7,Yellow,Good,1256
Quote - The Eclectic Bar and Lounge,New Delhi,"Finger Food, European, North Indian",1700,Yes,No,3,3.5,Yellow,Good,422
Rajdhani Thali Restaurant,New Delhi,"Gujarati, Rajasthani",950,No,Yes,2,3.6,Yellow,Good,1134
Route 04,New Delhi,"Continental, American, Tex-Mex, North Indian",1350,Yes,Yes,3,3.5,Yellow,Good,1863
Sbarro,New Delhi,"Pizza, Italian",600,No,Yes,2,3.5,Yellow,Good,1311
Shake Square,New Delhi,"Beverages, Fast Food",400,No,No,1,3.7,Yellow,Good,1333
South Indian Snacks,New Delhi,South Indian,300,No,No,1,3.6,Yellow,Good,50
SSKY Bar & Lounge,New Delhi,"Mughlai, North Indian, Chinese",2800,Yes,No,4,3.5,Yellow,Good,92
Starbucks,New Delhi,Cafe,700,No,No,2,3.8,Yellow,Good,552
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,No,Yes,2,3.5,Yellow,Good,276
Tamasha,New Delhi,"Finger Food, North Indian, Continental, Italian",1600,Yes,No,3,3.7,Yellow,Good,1801
Taste of China,New Delhi,"Chinese, Thai",1200,No,Yes,3,3.5,Yellow,Good,327
Teddy Boy,New Delhi,"North Indian, Continental, Finger Food",1200,Yes,No,3,3.9,Yellow,Good,1020
The Beer Cafe - BIGGIE,New Delhi,"Finger Food, North Indian, Italian",1250,Yes,No,3,3.8,Yellow,Good,645
The Flying Saucer Cafe,New Delhi,"Italian, Mediterranean, Continental, North Indian",1500,Yes,No,3,3.9,Yellow,Good,143
The Junkyard Cafe,New Delhi,"North Indian, Mediterranean, Asian",1500,Yes,No,3,3.9,Yellow,Good,1545
The Luggage Room Kitchen And Bar,New Delhi,"North Indian, Continental, Fast Food",1400,Yes,No,3,3.5,Yellow,Good,63
The Rolling Joint,New Delhi,Fast Food,450,No,Yes,1,3.9,Yellow,Good,783
The Vault Cafe,New Delhi,"North Indian, Mediterranean, Asian, Continental",1600,Yes,No,3,3.9,Yellow,Good,3413
Veda,New Delhi,"North Indian, Mughlai",1600,Yes,Yes,3,3.9,Yellow,Good,1087
Warehouse Cafe,New Delhi,"American, Continental, Italian, North Indian, Asian",1500,No,No,3,3.7,Yellow,Good,4914
Zaffran,New Delhi,"North Indian, Mughlai",1800,No,No,3,3.9,Yellow,Good,908
Zen,New Delhi,"Chinese, Japanese, Italian, Seafood",1500,Yes,Yes,3,3.5,Yellow,Good,1027
